Attributt;Språk;AttributtVerdi;"Gammel attributtverdi";Sort
"Leverandørs artikkelnr";Norsk;02500038;02500038;1
"Leverandørs artikkelnr";Norsk;02500040;02500040;1
"Leverandørs artikkelnr";Norsk;02500042;02500042;1
"Leverandørs artikkelnr";Norsk;02500044;02500044;1
"Leverandørs artikkelnr";Norsk;02500048;02500048;1
"Leverandørs artikkelnr";Norsk;02500050;02500050;1
"Leverandørs artikkelnr";Norsk;02500052;02500052;1
"Leverandørs artikkelnr";Norsk;02500054;02500054;1
"Leverandørs artikkelnr";Norsk;02500056;02500056;1
"Leverandørs artikkelnr";Norsk;02500058;02500058;1
"Leverandørs artikkelnr";Norsk;02500060;02500060;1
"Leverandørs artikkelnr";Norsk;02500062;02500062;1
"Leverandørs artikkelnr";Norsk;02500064;02500064;1
"Leverandørs artikkelnr";Norsk;02501024;02501024;1
"Leverandørs artikkelnr";Norsk;02501046;02501046;1
"Leverandørs artikkelnr";Norsk;"03 01 160";"03 01 160";1
"Leverandørs artikkelnr";Norsk;"03 01 180";"03 01 180";1
"Leverandørs artikkelnr";Norsk;"03 01 200";"03 01 200";1
"Leverandørs artikkelnr";Norsk;"03 02 160";"03 02 160";1
"Leverandørs artikkelnr";Norsk;"03 06 160";"03 06 160";1
"Leverandørs artikkelnr";Norsk;"03 06 160 SB";"03 06 160 SB";1
"Leverandørs artikkelnr";Norsk;"03 06 180";"03 06 180";1
"Leverandørs artikkelnr";Norsk;"03 06 180 SB";"03 06 180 SB";1
"Leverandørs artikkelnr";Norsk;03010010;03010010;1
"Leverandørs artikkelnr";Norsk;03010011;03010011;1
"Leverandørs artikkelnr";Norsk;03010012;03010012;1
"Leverandørs artikkelnr";Norsk;03010013;03010013;1
"Leverandørs artikkelnr";Norsk;03010014;03010014;1
"Leverandørs artikkelnr";Norsk;03010015;03010015;1
"Leverandørs artikkelnr";Norsk;03010016;03010016;1
"Leverandørs artikkelnr";Norsk;03010017;03010017;1
"Leverandørs artikkelnr";Norsk;03010018;03010018;1
"Leverandørs artikkelnr";Norsk;03010019;03010019;1
"Leverandørs artikkelnr";Norsk;03010020;03010020;1
"Leverandørs artikkelnr";Norsk;03010021;03010021;1
"Leverandørs artikkelnr";Norsk;03010022;03010022;1
"Leverandørs artikkelnr";Norsk;03010024;03010024;1
"Leverandørs artikkelnr";Norsk;03010027;03010027;1
"Leverandørs artikkelnr";Norsk;03010030;03010030;1
"Leverandørs artikkelnr";Norsk;03010032;03010032;1
"Leverandørs artikkelnr";Norsk;03010036;03010036;1
"Leverandørs artikkelnr";Norsk;03050004;03050004;1
"Leverandørs artikkelnr";Norsk;03050005;03050005;1
"Leverandørs artikkelnr";Norsk;03050006;03050006;1
"Leverandørs artikkelnr";Norsk;03050007;03050007;1
"Leverandørs artikkelnr";Norsk;03050008;03050008;1
"Leverandørs artikkelnr";Norsk;03050010;03050010;1
"Leverandørs artikkelnr";Norsk;03050012;03050012;1
"Leverandørs artikkelnr";Norsk;03050014;03050014;1
"Leverandørs artikkelnr";Norsk;03050017;03050017;1
"Leverandørs artikkelnr";Norsk;03050019;03050019;1
"Leverandørs artikkelnr";Norsk;03190030;03190030;1
"Leverandørs artikkelnr";Norsk;03190032;03190032;1
"Leverandørs artikkelnr";Norsk;03410024;03410024;1
"Leverandørs artikkelnr";Norsk;03410028;03410028;1
"Leverandørs artikkelnr";Norsk;03410032;03410032;1
"Leverandørs artikkelnr";Norsk;03410034;03410034;1
"Leverandørs artikkelnr";Norsk;03410035;03410035;1
"Leverandørs artikkelnr";Norsk;03410036;03410036;1
"Leverandørs artikkelnr";Norsk;03410038;03410038;1
"Leverandørs artikkelnr";Norsk;03410040;03410040;1
"Leverandørs artikkelnr";Norsk;03410041;03410041;1
"Leverandørs artikkelnr";Norsk;03410042;03410042;1
"Leverandørs artikkelnr";Norsk;03410044;03410044;1
"Leverandørs artikkelnr";Norsk;03410046;03410046;1
"Leverandørs artikkelnr";Norsk;03410054;03410054;1
"Leverandørs artikkelnr";Norsk;03410058;03410058;1
"Leverandørs artikkelnr";Norsk;03410062;03410062;1
"Leverandørs artikkelnr";Norsk;03410064;03410064;1
"Leverandørs artikkelnr";Norsk;03420032;03420032;1
"Leverandørs artikkelnr";Norsk;03420034;03420034;1
"Leverandørs artikkelnr";Norsk;03420036;03420036;1
"Leverandørs artikkelnr";Norsk;03420038;03420038;1
"Leverandørs artikkelnr";Norsk;03420040;03420040;1
"Leverandørs artikkelnr";Norsk;03420042;03420042;1
"Leverandørs artikkelnr";Norsk;03420044;03420044;1
"Leverandørs artikkelnr";Norsk;03420046;03420046;1
"Leverandørs artikkelnr";Norsk;03420048;03420048;1
"Leverandørs artikkelnr";Norsk;03420050;03420050;1
"Leverandørs artikkelnr";Norsk;03490052;03490052;1
"Leverandørs artikkelnr";Norsk;03490056;03490056;1
"Leverandørs artikkelnr";Norsk;03490058;03490058;1
"Leverandørs artikkelnr";Norsk;03490060;03490060;1
"Leverandørs artikkelnr";Norsk;03490062;03490062;1
"Leverandørs artikkelnr";Norsk;03490064;03490064;1
"Leverandørs artikkelnr";Norsk;03501064;03501064;1
"Leverandørs artikkelnr";Norsk;05003061001;05003061001;1
"Leverandørs artikkelnr";Norsk;05003180001;05003180001;1
"Leverandørs artikkelnr";Norsk;05003181001;05003181001;1
"Leverandørs artikkelnr";Norsk;05003263001;05003263001;1
"Leverandørs artikkelnr";Norsk;05003337001;05003337001;1
"Leverandørs artikkelnr";Norsk;05003339001;05003339001;1
"Leverandørs artikkelnr";Norsk;05003340001;05003340001;1
"Leverandørs artikkelnr";Norsk;05003364001;05003364001;1
"Leverandørs artikkelnr";Norsk;05003412001;05003412001;1
"Leverandørs artikkelnr";Norsk;05003484001;05003484001;1
"Leverandørs artikkelnr";Norsk;05003500001;05003500001;1
"Leverandørs artikkelnr";Norsk;05003501001;05003501001;1
"Leverandørs artikkelnr";Norsk;05003502001;05003502001;1
"Leverandørs artikkelnr";Norsk;05003503001;05003503001;1
"Leverandørs artikkelnr";Norsk;05003504001;05003504001;1
"Leverandørs artikkelnr";Norsk;05003505001;05003505001;1
"Leverandørs artikkelnr";Norsk;05003506001;05003506001;1
"Leverandørs artikkelnr";Norsk;05003507001;05003507001;1
"Leverandørs artikkelnr";Norsk;05003508001;05003508001;1
"Leverandørs artikkelnr";Norsk;05003509001;05003509001;1
"Leverandørs artikkelnr";Norsk;05003510001;05003510001;1
"Leverandørs artikkelnr";Norsk;05003511001;05003511001;1
"Leverandørs artikkelnr";Norsk;05003512001;05003512001;1
"Leverandørs artikkelnr";Norsk;05003513001;05003513001;1
"Leverandørs artikkelnr";Norsk;05003524001;05003524001;1
"Leverandørs artikkelnr";Norsk;05003525001;05003525001;1
"Leverandørs artikkelnr";Norsk;05003526001;05003526001;1
"Leverandørs artikkelnr";Norsk;05003528001;05003528001;1
"Leverandørs artikkelnr";Norsk;05003529001;05003529001;1
"Leverandørs artikkelnr";Norsk;05003530001;05003530001;1
"Leverandørs artikkelnr";Norsk;05003531001;05003531001;1
"Leverandørs artikkelnr";Norsk;05003535001;05003535001;1
"Leverandørs artikkelnr";Norsk;05003590001;05003590001;1
"Leverandørs artikkelnr";Norsk;05003591001;05003591001;1
"Leverandørs artikkelnr";Norsk;05003592001;05003592001;1
"Leverandørs artikkelnr";Norsk;05003594001;05003594001;1
"Leverandørs artikkelnr";Norsk;05003642001;05003642001;1
"Leverandørs artikkelnr";Norsk;05003643001;05003643001;1
"Leverandørs artikkelnr";Norsk;05003728001;05003728001;1
"Leverandørs artikkelnr";Norsk;05003733001;05003733001;1
"Leverandørs artikkelnr";Norsk;05003747001;05003747001;1
"Leverandørs artikkelnr";Norsk;05003755001;05003755001;1
"Leverandørs artikkelnr";Norsk;05003756001;05003756001;1
"Leverandørs artikkelnr";Norsk;05003780001;05003780001;1
"Leverandørs artikkelnr";Norsk;05003781001;05003781001;1
"Leverandørs artikkelnr";Norsk;05003820001;05003820001;1
"Leverandørs artikkelnr";Norsk;05003822001;05003822001;1
"Leverandørs artikkelnr";Norsk;05003844001;05003844001;1
"Leverandørs artikkelnr";Norsk;05003880001;05003880001;1
"Leverandørs artikkelnr";Norsk;05003881001;05003881001;1
"Leverandørs artikkelnr";Norsk;05003882001;05003882001;1
"Leverandørs artikkelnr";Norsk;05003883001;05003883001;1
"Leverandørs artikkelnr";Norsk;05003884001;05003884001;1
"Leverandørs artikkelnr";Norsk;05003891001;05003891001;1
"Leverandørs artikkelnr";Norsk;05003970001;05003970001;1
"Leverandørs artikkelnr";Norsk;05003971001;05003971001;1
"Leverandørs artikkelnr";Norsk;05003972001;05003972001;1
"Leverandørs artikkelnr";Norsk;05003973001;05003973001;1
"Leverandørs artikkelnr";Norsk;05003974001;05003974001;1
"Leverandørs artikkelnr";Norsk;05003990001;05003990001;1
"Leverandørs artikkelnr";Norsk;05003995001;05003995001;1
"Leverandørs artikkelnr";Norsk;05003996001;05003996001;1
"Leverandørs artikkelnr";Norsk;05003997001;05003997001;1
"Leverandørs artikkelnr";Norsk;05004003001;05004003001;1
"Leverandørs artikkelnr";Norsk;05004004001;05004004001;1
"Leverandørs artikkelnr";Norsk;05004016001;05004016001;1
"Leverandørs artikkelnr";Norsk;05004017001;05004017001;1
"Leverandørs artikkelnr";Norsk;05004018001;05004018001;1
"Leverandørs artikkelnr";Norsk;05004033001;05004033001;1
"Leverandørs artikkelnr";Norsk;05004034001;05004034001;1
"Leverandørs artikkelnr";Norsk;05004046001;05004046001;1
"Leverandørs artikkelnr";Norsk;05004047001;05004047001;1
"Leverandørs artikkelnr";Norsk;05004048001;05004048001;1
"Leverandørs artikkelnr";Norsk;05004063001;05004063001;1
"Leverandørs artikkelnr";Norsk;05004064001;05004064001;1
"Leverandørs artikkelnr";Norsk;05004076001;05004076001;1
"Leverandørs artikkelnr";Norsk;05004077001;05004077001;1
"Leverandørs artikkelnr";Norsk;05004078001;05004078001;1
"Leverandørs artikkelnr";Norsk;05004090001;05004090001;1
"Leverandørs artikkelnr";Norsk;05004095001;05004095001;1
"Leverandørs artikkelnr";Norsk;05004180001;05004180001;1
"Leverandørs artikkelnr";Norsk;05004201001;05004201001;1
"Leverandørs artikkelnr";Norsk;05004202001;05004202001;1
"Leverandørs artikkelnr";Norsk;05004310001;05004310001;1
"Leverandørs artikkelnr";Norsk;05004313001;05004313001;1
"Leverandørs artikkelnr";Norsk;05004350001;05004350001;1
"Leverandørs artikkelnr";Norsk;05004351001;05004351001;1
"Leverandørs artikkelnr";Norsk;05004352001;05004352001;1
"Leverandørs artikkelnr";Norsk;05004353001;05004353001;1
"Leverandørs artikkelnr";Norsk;05004966001;05004966001;1
"Leverandørs artikkelnr";Norsk;05004970001;05004970001;1
"Leverandørs artikkelnr";Norsk;05005655001;05005655001;1
"Leverandørs artikkelnr";Norsk;05006147001;05006147001;1
"Leverandørs artikkelnr";Norsk;05006148001;05006148001;1
"Leverandørs artikkelnr";Norsk;05006440001;05006440001;1
"Leverandørs artikkelnr";Norsk;05006441001;05006441001;1
"Leverandørs artikkelnr";Norsk;05006442001;05006442001;1
"Leverandørs artikkelnr";Norsk;05006450001;05006450001;1
"Leverandørs artikkelnr";Norsk;05006451001;05006451001;1
"Leverandørs artikkelnr";Norsk;05006460001;05006460001;1
"Leverandørs artikkelnr";Norsk;05006461001;05006461001;1
"Leverandørs artikkelnr";Norsk;05007670001;05007670001;1
"Leverandørs artikkelnr";Norsk;05007671001;05007671001;1
"Leverandørs artikkelnr";Norsk;05007672001;05007672001;1
"Leverandørs artikkelnr";Norsk;05007673001;05007673001;1
"Leverandørs artikkelnr";Norsk;05008015001;05008015001;1
"Leverandørs artikkelnr";Norsk;05008027001;05008027001;1
"Leverandørs artikkelnr";Norsk;05008060001;05008060001;1
"Leverandørs artikkelnr";Norsk;05008705001;05008705001;1
"Leverandørs artikkelnr";Norsk;05008710001;05008710001;1
"Leverandørs artikkelnr";Norsk;05008712001;05008712001;1
"Leverandørs artikkelnr";Norsk;05008720001;05008720001;1
"Leverandørs artikkelnr";Norsk;05008725001;05008725001;1
"Leverandørs artikkelnr";Norsk;05008730001;05008730001;1
"Leverandørs artikkelnr";Norsk;05008735001;05008735001;1
"Leverandørs artikkelnr";Norsk;05008740001;05008740001;1
"Leverandørs artikkelnr";Norsk;05008751001;05008751001;1
"Leverandørs artikkelnr";Norsk;05008752001;05008752001;1
"Leverandørs artikkelnr";Norsk;05008753001;05008753001;1
"Leverandørs artikkelnr";Norsk;05009305001;05009305001;1
"Leverandørs artikkelnr";Norsk;05009310001;05009310001;1
"Leverandørs artikkelnr";Norsk;05009315001;05009315001;1
"Leverandørs artikkelnr";Norsk;05009320001;05009320001;1
"Leverandørs artikkelnr";Norsk;05013302001;05013302001;1
"Leverandørs artikkelnr";Norsk;05017005001;05017005001;1
"Leverandørs artikkelnr";Norsk;05017010001;05017010001;1
"Leverandørs artikkelnr";Norsk;05017015001;05017015001;1
"Leverandørs artikkelnr";Norsk;05017052001;05017052001;1
"Leverandørs artikkelnr";Norsk;05017054001;05017054001;1
"Leverandørs artikkelnr";Norsk;05017205001;05017205001;1
"Leverandørs artikkelnr";Norsk;05017405001;05017405001;1
"Leverandørs artikkelnr";Norsk;05017410001;05017410001;1
"Leverandørs artikkelnr";Norsk;05018260001;05018260001;1
"Leverandørs artikkelnr";Norsk;05018262001;05018262001;1
"Leverandørs artikkelnr";Norsk;05018264001;05018264001;1
"Leverandørs artikkelnr";Norsk;05018266001;05018266001;1
"Leverandørs artikkelnr";Norsk;05018268001;05018268001;1
"Leverandørs artikkelnr";Norsk;05018270001;05018270001;1
"Leverandørs artikkelnr";Norsk;05018272001;05018272001;1
"Leverandørs artikkelnr";Norsk;05018274001;05018274001;1
"Leverandørs artikkelnr";Norsk;05018282001;05018282001;1
"Leverandørs artikkelnr";Norsk;05018287001;05018287001;1
"Leverandørs artikkelnr";Norsk;05020012001;05020012001;1
"Leverandørs artikkelnr";Norsk;05020013001;05020013001;1
"Leverandørs artikkelnr";Norsk;05020064001;05020064001;1
"Leverandørs artikkelnr";Norsk;05020065001;05020065001;1
"Leverandørs artikkelnr";Norsk;05020066001;05020066001;1
"Leverandørs artikkelnr";Norsk;05020067001;05020067001;1
"Leverandørs artikkelnr";Norsk;05020068001;05020068001;1
"Leverandørs artikkelnr";Norsk;05020069001;05020069001;1
"Leverandørs artikkelnr";Norsk;05020070001;05020070001;1
"Leverandørs artikkelnr";Norsk;05020071001;05020071001;1
"Leverandørs artikkelnr";Norsk;05020072001;05020072001;1
"Leverandørs artikkelnr";Norsk;05020073001;05020073001;1
"Leverandørs artikkelnr";Norsk;05020074001;05020074001;1
"Leverandørs artikkelnr";Norsk;05020090001;05020090001;1
"Leverandørs artikkelnr";Norsk;05020091001;05020091001;1
"Leverandørs artikkelnr";Norsk;05020100001;05020100001;1
"Leverandørs artikkelnr";Norsk;05020101001;05020101001;1
"Leverandørs artikkelnr";Norsk;05020102001;05020102001;1
"Leverandørs artikkelnr";Norsk;05020232001;05020232001;1
"Leverandørs artikkelnr";Norsk;05020505001;05020505001;1
"Leverandørs artikkelnr";Norsk;05021728001;05021728001;1
"Leverandørs artikkelnr";Norsk;05022200001;05022200001;1
"Leverandørs artikkelnr";Norsk;05022201001;05022201001;1
"Leverandørs artikkelnr";Norsk;05022202001;05022202001;1
"Leverandørs artikkelnr";Norsk;05022203001;05022203001;1
"Leverandørs artikkelnr";Norsk;05022204001;05022204001;1
"Leverandørs artikkelnr";Norsk;05022205001;05022205001;1
"Leverandørs artikkelnr";Norsk;05022210001;05022210001;1
"Leverandørs artikkelnr";Norsk;05022600001;05022600001;1
"Leverandørs artikkelnr";Norsk;05022602001;05022602001;1
"Leverandørs artikkelnr";Norsk;05022604001;05022604001;1
"Leverandørs artikkelnr";Norsk;05022639001;05022639001;1
"Leverandørs artikkelnr";Norsk;05022669001;05022669001;1
"Leverandørs artikkelnr";Norsk;05022682001;05022682001;1
"Leverandørs artikkelnr";Norsk;05022683001;05022683001;1
"Leverandørs artikkelnr";Norsk;05022689001;05022689001;1
"Leverandørs artikkelnr";Norsk;05022701001;05022701001;1
"Leverandørs artikkelnr";Norsk;05022702001;05022702001;1
"Leverandørs artikkelnr";Norsk;05022703001;05022703001;1
"Leverandørs artikkelnr";Norsk;05022720001;05022720001;1
"Leverandørs artikkelnr";Norsk;05023450001;05023450001;1
"Leverandørs artikkelnr";Norsk;05024179001;05024179001;1
"Leverandørs artikkelnr";Norsk;05024450001;05024450001;1
"Leverandørs artikkelnr";Norsk;05024460001;05024460001;1
"Leverandørs artikkelnr";Norsk;05024470001;05024470001;1
"Leverandørs artikkelnr";Norsk;05024480001;05024480001;1
"Leverandørs artikkelnr";Norsk;05027405001;05027405001;1
"Leverandørs artikkelnr";Norsk;05027455001;05027455001;1
"Leverandørs artikkelnr";Norsk;05027950001;05027950001;1
"Leverandørs artikkelnr";Norsk;05027952001;05027952001;1
"Leverandørs artikkelnr";Norsk;05027954001;05027954001;1
"Leverandørs artikkelnr";Norsk;05027956001;05027956001;1
"Leverandørs artikkelnr";Norsk;05027958001;05027958001;1
"Leverandørs artikkelnr";Norsk;05028052001;05028052001;1
"Leverandørs artikkelnr";Norsk;05028148001;05028148001;1
"Leverandørs artikkelnr";Norsk;05028150001;05028150001;1
"Leverandørs artikkelnr";Norsk;05028152001;05028152001;1
"Leverandørs artikkelnr";Norsk;05028160001;05028160001;1
"Leverandørs artikkelnr";Norsk;05030005001;05030005001;1
"Leverandørs artikkelnr";Norsk;05030101001;05030101001;1
"Leverandørs artikkelnr";Norsk;05030103001;05030103001;1
"Leverandørs artikkelnr";Norsk;05030104001;05030104001;1
"Leverandørs artikkelnr";Norsk;05030105001;05030105001;1
"Leverandørs artikkelnr";Norsk;05030106001;05030106001;1
"Leverandørs artikkelnr";Norsk;05030107001;05030107001;1
"Leverandørs artikkelnr";Norsk;05030180001;05030180001;1
"Leverandørs artikkelnr";Norsk;05030181001;05030181001;1
"Leverandørs artikkelnr";Norsk;05042605001;05042605001;1
"Leverandørs artikkelnr";Norsk;05042655001;05042655001;1
"Leverandørs artikkelnr";Norsk;05042665001;05042665001;1
"Leverandørs artikkelnr";Norsk;05050005001;05050005001;1
"Leverandørs artikkelnr";Norsk;05051005001;05051005001;1
"Leverandørs artikkelnr";Norsk;05051019001;05051019001;1
"Leverandørs artikkelnr";Norsk;05051043001;05051043001;1
"Leverandørs artikkelnr";Norsk;05052502001;05052502001;1
"Leverandørs artikkelnr";Norsk;05053870001;05053870001;1
"Leverandørs artikkelnr";Norsk;05056172001;05056172001;1
"Leverandørs artikkelnr";Norsk;05056174001;05056174001;1
"Leverandørs artikkelnr";Norsk;05056176001;05056176001;1
"Leverandørs artikkelnr";Norsk;05056305001;05056305001;1
"Leverandørs artikkelnr";Norsk;05056315001;05056315001;1
"Leverandørs artikkelnr";Norsk;05056320001;05056320001;1
"Leverandørs artikkelnr";Norsk;05056325001;05056325001;1
"Leverandørs artikkelnr";Norsk;05056330001;05056330001;1
"Leverandørs artikkelnr";Norsk;05056335001;05056335001;1
"Leverandørs artikkelnr";Norsk;05056400001;05056400001;1
"Leverandørs artikkelnr";Norsk;05056402001;05056402001;1
"Leverandørs artikkelnr";Norsk;05056404001;05056404001;1
"Leverandørs artikkelnr";Norsk;05056422001;05056422001;1
"Leverandørs artikkelnr";Norsk;05056490001;05056490001;1
"Leverandørs artikkelnr";Norsk;05056702001;05056702001;1
"Leverandørs artikkelnr";Norsk;05057213001;05057213001;1
"Leverandørs artikkelnr";Norsk;05057223001;05057223001;1
"Leverandørs artikkelnr";Norsk;05057230001;05057230001;1
"Leverandørs artikkelnr";Norsk;05057235001;05057235001;1
"Leverandørs artikkelnr";Norsk;05057240001;05057240001;1
"Leverandørs artikkelnr";Norsk;05057420001;05057420001;1
"Leverandørs artikkelnr";Norsk;05057430001;05057430001;1
"Leverandørs artikkelnr";Norsk;05057431001;05057431001;1
"Leverandørs artikkelnr";Norsk;05057432001;05057432001;1
"Leverandørs artikkelnr";Norsk;05057434001;05057434001;1
"Leverandørs artikkelnr";Norsk;05057470001;05057470001;1
"Leverandørs artikkelnr";Norsk;05057480001;05057480001;1
"Leverandørs artikkelnr";Norsk;05057481001;05057481001;1
"Leverandørs artikkelnr";Norsk;05057482001;05057482001;1
"Leverandørs artikkelnr";Norsk;05057484001;05057484001;1
"Leverandørs artikkelnr";Norsk;05057510001;05057510001;1
"Leverandørs artikkelnr";Norsk;05057515001;05057515001;1
"Leverandørs artikkelnr";Norsk;05057520001;05057520001;1
"Leverandørs artikkelnr";Norsk;05057525001;05057525001;1
"Leverandørs artikkelnr";Norsk;05057676001;05057676001;1
"Leverandørs artikkelnr";Norsk;05057705001;05057705001;1
"Leverandørs artikkelnr";Norsk;05057710001;05057710001;1
"Leverandørs artikkelnr";Norsk;05057715001;05057715001;1
"Leverandørs artikkelnr";Norsk;05057725001;05057725001;1
"Leverandørs artikkelnr";Norsk;05057908001;05057908001;1
"Leverandørs artikkelnr";Norsk;05057910001;05057910001;1
"Leverandørs artikkelnr";Norsk;05059295001;05059295001;1
"Leverandørs artikkelnr";Norsk;05059297001;05059297001;1
"Leverandørs artikkelnr";Norsk;05059305001;05059305001;1
"Leverandørs artikkelnr";Norsk;05059310001;05059310001;1
"Leverandørs artikkelnr";Norsk;05059320001;05059320001;1
"Leverandørs artikkelnr";Norsk;05059335001;05059335001;1
"Leverandørs artikkelnr";Norsk;05059340001;05059340001;1
"Leverandørs artikkelnr";Norsk;05059480001;05059480001;1
"Leverandørs artikkelnr";Norsk;05059488001;05059488001;1
"Leverandørs artikkelnr";Norsk;05059489001;05059489001;1
"Leverandørs artikkelnr";Norsk;05059490001;05059490001;1
"Leverandørs artikkelnr";Norsk;05059496001;05059496001;1
"Leverandørs artikkelnr";Norsk;05059500001;05059500001;1
"Leverandørs artikkelnr";Norsk;05059530001;05059530001;1
"Leverandørs artikkelnr";Norsk;05059532001;05059532001;1
"Leverandørs artikkelnr";Norsk;05059534001;05059534001;1
"Leverandørs artikkelnr";Norsk;05059603001;05059603001;1
"Leverandørs artikkelnr";Norsk;05059604001;05059604001;1
"Leverandørs artikkelnr";Norsk;05059605001;05059605001;1
"Leverandørs artikkelnr";Norsk;05059610001;05059610001;1
"Leverandørs artikkelnr";Norsk;05059615001;05059615001;1
"Leverandørs artikkelnr";Norsk;05059620001;05059620001;1
"Leverandørs artikkelnr";Norsk;05059625001;05059625001;1
"Leverandørs artikkelnr";Norsk;05059628001;05059628001;1
"Leverandørs artikkelnr";Norsk;05059629001;05059629001;1
"Leverandørs artikkelnr";Norsk;05059630001;05059630001;1
"Leverandørs artikkelnr";Norsk;05059631001;05059631001;1
"Leverandørs artikkelnr";Norsk;05059632001;05059632001;1
"Leverandørs artikkelnr";Norsk;05059634001;05059634001;1
"Leverandørs artikkelnr";Norsk;05059635001;05059635001;1
"Leverandørs artikkelnr";Norsk;05059636001;05059636001;1
"Leverandørs artikkelnr";Norsk;05059760001;05059760001;1
"Leverandørs artikkelnr";Norsk;05059775001;05059775001;1
"Leverandørs artikkelnr";Norsk;05059900001;05059900001;1
"Leverandørs artikkelnr";Norsk;05059902001;05059902001;1
"Leverandørs artikkelnr";Norsk;05059904001;05059904001;1
"Leverandørs artikkelnr";Norsk;05060029001;05060029001;1
"Leverandørs artikkelnr";Norsk;05060035001;05060035001;1
"Leverandørs artikkelnr";Norsk;05060081001;05060081001;1
"Leverandørs artikkelnr";Norsk;05060082001;05060082001;1
"Leverandørs artikkelnr";Norsk;05060083001;05060083001;1
"Leverandørs artikkelnr";Norsk;05060084001;05060084001;1
"Leverandørs artikkelnr";Norsk;05060085001;05060085001;1
"Leverandørs artikkelnr";Norsk;05060086001;05060086001;1
"Leverandørs artikkelnr";Norsk;05060087001;05060087001;1
"Leverandørs artikkelnr";Norsk;05060131001;05060131001;1
"Leverandørs artikkelnr";Norsk;05060132001;05060132001;1
"Leverandørs artikkelnr";Norsk;05060133001;05060133001;1
"Leverandørs artikkelnr";Norsk;05060134001;05060134001;1
"Leverandørs artikkelnr";Norsk;05060136001;05060136001;1
"Leverandørs artikkelnr";Norsk;05060198001;05060198001;1
"Leverandørs artikkelnr";Norsk;05060199001;05060199001;1
"Leverandørs artikkelnr";Norsk;05060201001;05060201001;1
"Leverandørs artikkelnr";Norsk;05060210001;05060210001;1
"Leverandørs artikkelnr";Norsk;05060360001;05060360001;1
"Leverandørs artikkelnr";Norsk;05060361001;05060361001;1
"Leverandørs artikkelnr";Norsk;05060362001;05060362001;1
"Leverandørs artikkelnr";Norsk;05060363001;05060363001;1
"Leverandørs artikkelnr";Norsk;05060364001;05060364001;1
"Leverandørs artikkelnr";Norsk;05060365001;05060365001;1
"Leverandørs artikkelnr";Norsk;05060366001;05060366001;1
"Leverandørs artikkelnr";Norsk;05060400001;05060400001;1
"Leverandørs artikkelnr";Norsk;05060403001;05060403001;1
"Leverandørs artikkelnr";Norsk;05060420001;05060420001;1
"Leverandørs artikkelnr";Norsk;05060514001;05060514001;1
"Leverandørs artikkelnr";Norsk;05066072001;05066072001;1
"Leverandørs artikkelnr";Norsk;05066073001;05066073001;1
"Leverandørs artikkelnr";Norsk;05066074001;05066074001;1
"Leverandørs artikkelnr";Norsk;05066075001;05066075001;1
"Leverandørs artikkelnr";Norsk;05066076001;05066076001;1
"Leverandørs artikkelnr";Norsk;05066077001;05066077001;1
"Leverandørs artikkelnr";Norsk;05066078001;05066078001;1
"Leverandørs artikkelnr";Norsk;05066082001;05066082001;1
"Leverandørs artikkelnr";Norsk;05066084001;05066084001;1
"Leverandørs artikkelnr";Norsk;05066300001;05066300001;1
"Leverandørs artikkelnr";Norsk;05066301001;05066301001;1
"Leverandørs artikkelnr";Norsk;05066302001;05066302001;1
"Leverandørs artikkelnr";Norsk;05066303001;05066303001;1
"Leverandørs artikkelnr";Norsk;05066304001;05066304001;1
"Leverandørs artikkelnr";Norsk;05066305001;05066305001;1
"Leverandørs artikkelnr";Norsk;05066308001;05066308001;1
"Leverandørs artikkelnr";Norsk;05066310001;05066310001;1
"Leverandørs artikkelnr";Norsk;05066312001;05066312001;1
"Leverandørs artikkelnr";Norsk;05066313001;05066313001;1
"Leverandørs artikkelnr";Norsk;05066315001;05066315001;1
"Leverandørs artikkelnr";Norsk;05066320001;05066320001;1
"Leverandørs artikkelnr";Norsk;05066622001;05066622001;1
"Leverandørs artikkelnr";Norsk;05066624001;05066624001;1
"Leverandørs artikkelnr";Norsk;05066628001;05066628001;1
"Leverandørs artikkelnr";Norsk;05066630001;05066630001;1
"Leverandørs artikkelnr";Norsk;05066632001;05066632001;1
"Leverandørs artikkelnr";Norsk;05066634001;05066634001;1
"Leverandørs artikkelnr";Norsk;05066652001;05066652001;1
"Leverandørs artikkelnr";Norsk;05066692001;05066692001;1
"Leverandørs artikkelnr";Norsk;05066694001;05066694001;1
"Leverandørs artikkelnr";Norsk;05071081001;05071081001;1
"Leverandørs artikkelnr";Norsk;05071082001;05071082001;1
"Leverandørs artikkelnr";Norsk;05073200001;05073200001;1
"Leverandørs artikkelnr";Norsk;05073220001;05073220001;1
"Leverandørs artikkelnr";Norsk;050732300011;050732300011;1
"Leverandørs artikkelnr";Norsk;05073240001;05073240001;1
"Leverandørs artikkelnr";Norsk;05073261001;05073261001;1
"Leverandørs artikkelnr";Norsk;05073262001;05073262001;1
"Leverandørs artikkelnr";Norsk;05073268001;05073268001;1
"Leverandørs artikkelnr";Norsk;05073270001;05073270001;1
"Leverandørs artikkelnr";Norsk;05073271001;05073271001;1
"Leverandørs artikkelnr";Norsk;05073272001;05073272001;1
"Leverandørs artikkelnr";Norsk;05073273001;05073273001;1
"Leverandørs artikkelnr";Norsk;05073274001;05073274001;1
