Attributt;Språk;AttributtVerdi;"Gammel attributtverdi";Sort
"Dybde bunn";Norsk;"25 mm";"25 mm";1
"Dybde bunn";Norsk;"267 mm";"267 mm";1
"Dybde bunn";Norsk;"291 mm";"291 mm";1
"Dybde bunn";Norsk;"302 mm";"302 mm";1
"Dybde bunn";Norsk;"308 mm";"308 mm";1
"Dybde bunn";Norsk;"356 mm";"356 mm";1
"Dybde bunn";Norsk;"368 mm";"368 mm";1
"Dybde bunn";Norsk;"37 mm";"37 mm";1
"Dybde bunn";Norsk;"483 mm";"483 mm";1
"Dybde bunn";Norsk;"61 mm";"61 mm";1
"Dybde bunn";Norsk;"70 mm";"70 mm";1
"Dybde bunn";Norsk;"89 mm";"89 mm";1
"Dybde lokk";Norsk;"11 mm";"11 mm";1
"Dybde lokk";Norsk;"114 mm";"114 mm";1
"Dybde lokk";Norsk;"125 mm";"125 mm";1
"Dybde lokk";Norsk;"127 mm";"127 mm";1
"Dybde lokk";Norsk;"13 mm";"13 mm";1
"Dybde lokk";Norsk;"18 mm";"18 mm";1
"Dybde lokk";Norsk;"19 mm";"19 mm";1
"Dybde lokk";Norsk;"193 mm";"193 mm";1
"Dybde lokk";Norsk;"25 mm";"25 mm";1
"Dybde lokk";Norsk;"27 mm";"27 mm";1
"Dybde lokk";Norsk;"30 mm";"30 mm";1
"Dybde lokk";Norsk;"37 mm";"37 mm";1
"Dybde lokk";Norsk;"38 mm";"38 mm";1
"Dybde lokk";Norsk;"44 mm";"44 mm";1
"Dybde lokk";Norsk;"45 mm";"45 mm";1
"Dybde lokk";Norsk;"46 mm";"46 mm";1
"Dybde lokk";Norsk;"50 mm";"50 mm";1
"Dybde lokk";Norsk;"51 mm";"51 mm";1
"Dybde lokk";Norsk;"52 mm";"52 mm";1
"Dybde lokk";Norsk;"64 mm";"64 mm";1
"Dybde lokk";Norsk;"65 mm";"65 mm";1
"Dybde lokk";Norsk;"81 mm";"81 mm";1
"Dybde lokk";Norsk;"83 mm";"83 mm";1
"Dybde lokk - bunn";Norsk;"50 + 140 mm / 1.97 + 5.51 inch";"50 + 140 mm / 1.97 + 5.51 inch";1
EAN;Norsk;3148510271507;3148510271507;1
EAN;Norsk;3148510271606;3148510271606;1
EAN;Norsk;3148510271705;3148510271705;1
EAN;Norsk;3148510271804;3148510271804;1
EAN;Norsk;3148510273938;3148510273938;1
EAN;Norsk;3148510273952;3148510273952;1
EAN;Norsk;3148510273969;3148510273969;1
EAN;Norsk;3148510273976;3148510273976;1
EAN;Norsk;3148510274027;3148510274027;1
EAN;Norsk;3148510274034;3148510274034;1
EAN;Norsk;3148510274508;3148510274508;1
EAN;Norsk;3148510274607;3148510274607;1
EAN;Norsk;3148510274706;3148510274706;1
EAN;Norsk;3148510279022;3148510279022;1
EAN;Norsk;3148510279046;3148510279046;1
EAN;Norsk;3148510279060;3148510279060;1
EAN;Norsk;3148510279084;3148510279084;1
EAN;Norsk;3148510279107;3148510279107;1
EAN;Norsk;3148510279121;3148510279121;1
EAN;Norsk;3148510279145;3148510279145;1
EAN;Norsk;3148510282466;3148510282466;1
EAN;Norsk;3148510282510;3148510282510;1
EAN;Norsk;3148510282718;3148510282718;1
EAN;Norsk;3148510282916;3148510282916;1
EAN;Norsk;3148510283111;3148510283111;1
EAN;Norsk;3148510283319;3148510283319;1
EAN;Norsk;3148510283517;3148510283517;1
EAN;Norsk;3148510283715;3148510283715;1
EAN;Norsk;3148510283913;3148510283913;1
EAN;Norsk;3148510284118;3148510284118;1
EAN;Norsk;3148510289458;3148510289458;1
EAN;Norsk;3148510525907;3148510525907;1
EAN;Norsk;3148510535500;3148510535500;1
EAN;Norsk;3148510535906;3148510535906;1
EAN;Norsk;3148510536101;3148510536101;1
EAN;Norsk;3148510536606;3148510536606;1
EAN;Norsk;3148510540801;3148510540801;1
EAN;Norsk;3148510541204;3148510541204;1
EAN;Norsk;3148510541402;3148510541402;1
EAN;Norsk;3148516556813;3148516556813;1
EAN;Norsk;3148517332980;3148517332980;1
EAN;Norsk;3148519036640;3148519036640;1
EAN;Norsk;3148519036725;3148519036725;1
EAN;Norsk;3148519041736;3148519041736;1
EAN;Norsk;4000896024018;4000896024018;1
EAN;Norsk;4000896031955;4000896031955;1
EAN;Norsk;4000896036615;4000896036615;1
EAN;Norsk;4000896036981;4000896036981;1
EAN;Norsk;4000896037025;4000896037025;1
EAN;Norsk;4000896037551;4000896037551;1
EAN;Norsk;4000896040377;4000896040377;1
EAN;Norsk;4000896041954;4000896041954;1
EAN;Norsk;4000896047451;4000896047451;1
EAN;Norsk;4000896051694;4000896051694;1
EAN;Norsk;4000896165605;4000896165605;1
EAN;Norsk;4013288007940;4013288007940;1
EAN;Norsk;4013288007971;4013288007971;1
EAN;Norsk;4013288007988;4013288007988;1
EAN;Norsk;4013288038371;4013288038371;1
EAN;Norsk;4013288038388;4013288038388;1
EAN;Norsk;4013288120083;4013288120083;1
EAN;Norsk;4013288120106;4013288120106;1
EAN;Norsk;4013288120113;4013288120113;1
EAN;Norsk;4013288120137;4013288120137;1
EAN;Norsk;4013288120144;4013288120144;1
EAN;Norsk;4013288120168;4013288120168;1
EAN;Norsk;4013288120175;4013288120175;1
EAN;Norsk;4013288120182;4013288120182;1
EAN;Norsk;4013288120199;4013288120199;1
EAN;Norsk;4013288120205;4013288120205;1
EAN;Norsk;4013288121035;4013288121035;1
EAN;Norsk;4013288121042;4013288121042;1
EAN;Norsk;4013288121059;4013288121059;1
EAN;Norsk;4013288121066;4013288121066;1
EAN;Norsk;4013288121073;4013288121073;1
EAN;Norsk;4013288121301;4013288121301;1
EAN;Norsk;4013288121318;4013288121318;1
EAN;Norsk;4013288121325;4013288121325;1
EAN;Norsk;4013288121455;4013288121455;1
EAN;Norsk;4013288121462;4013288121462;1
EAN;Norsk;4013288121493;4013288121493;1
EAN;Norsk;4013288121509;4013288121509;1
EAN;Norsk;4013288128034;4013288128034;1
EAN;Norsk;4013288128041;4013288128041;1
EAN;Norsk;4013288128058;4013288128058;1
EAN;Norsk;4013288139115;4013288139115;1
EAN;Norsk;4013288144638;4013288144638;1
EAN;Norsk;4013288173003;4013288173003;1
EAN;Norsk;4013288173836;4013288173836;1
EAN;Norsk;4013288173874;4013288173874;1
EAN;Norsk;4013288173881;4013288173881;1
EAN;Norsk;4013288173911;4013288173911;1
EAN;Norsk;4013288173928;4013288173928;1
EAN;Norsk;4013288174000;4013288174000;1
EAN;Norsk;4013288174024;4013288174024;1
EAN;Norsk;4013288174048;4013288174048;1
EAN;Norsk;4013288174062;4013288174062;1
EAN;Norsk;4013288182159;4013288182159;1
EAN;Norsk;4013288183200;4013288183200;1
EAN;Norsk;4013288183521;4013288183521;1
EAN;Norsk;4013288184214;4013288184214;1
EAN;Norsk;4013288184320;4013288184320;1
EAN;Norsk;4013288190758;4013288190758;1
EAN;Norsk;4013288190765;4013288190765;1
EAN;Norsk;4013288190772;4013288190772;1
EAN;Norsk;4013288190963;4013288190963;1
EAN;Norsk;4013288190970;4013288190970;1
EAN;Norsk;4013288190987;4013288190987;1
EAN;Norsk;4020772041038;4020772041038;1
EAN;Norsk;4045454571665;4045454571665;1
EAN;Norsk;5020385050853;5020385050853;1
EAN;Norsk;5020385083059;5020385083059;1
EAN;Norsk;5020385131163;5020385131163;1
EAN;Norsk;5020385132214;5020385132214;1
EAN;Norsk;5020385133457;5020385133457;1
EAN;Norsk;5020385138841;5020385138841;1
EAN;Norsk;5020385139725;5020385139725;1
EAN;Norsk;7043811234564;7043811234564;1
EAN;Norsk;7072213130198;7072213130198;1
EAN;Norsk;7311662100353;7311662100353;1
EAN;Norsk;7311662440022;7311662440022;1
EAN;Norsk;7311665307018;7311665307018;1
EAN;Norsk;7314150104000;7314150104000;1
EAN;Norsk;7314150165728;7314150165728;1
EAN;Norsk;7314150166053;7314150166053;1
EAN;Norsk;7314150195022;7314150195022;1
EAN;Norsk;7314150260188;7314150260188;1
EAN;Norsk;7314150339501;7314150339501;1
EAN;Norsk;7314150386215;7314150386215;1
EAN;Norsk;7314150469246;7314150469246;1
EAN;Norsk;7314150470884;7314150470884;1
EAN;Norsk;7314150471027;7314150471027;1
EAN;Norsk;7314151098568;7314151098568;1
EAN;Norsk;7314151106829;7314151106829;1
EAN;Norsk;7314151757229;7314151757229;1
EAN;Norsk;7314151757496;7314151757496;1
EAN;Norsk;7314151757571;7314151757571;1
EAN;Norsk;7314151757656;7314151757656;1
EAN;Norsk;7314151757731;7314151757731;1
EAN;Norsk;7314151820435;7314151820435;1
EAN;Norsk;7314151820442;7314151820442;1
EAN;Norsk;7314151820459;7314151820459;1
EAN;Norsk;7314151820466;7314151820466;1
EAN;Norsk;7314151820473;7314151820473;1
EAN;Norsk;7314151849290;7314151849290;1
EAN;Norsk;7314153006271;7314153006271;1
EAN;Norsk;7314153006288;7314153006288;1
EAN;Norsk;7314153006295;7314153006295;1
EAN;Norsk;7314153006301;7314153006301;1
EAN;Norsk;7314153006318;7314153006318;1
EAN;Norsk;7314153006325;7314153006325;1
EAN;Norsk;7314153006332;7314153006332;1
EAN;Norsk;7314153006349;7314153006349;1
EAN;Norsk;8413345115353;8413345115353;1
EAN;Norsk;9315939034103;9315939034103;1
EAN;Norsk;9315939034127;9315939034127;1
EAN;Norsk;9315939083460;9315939083460;1
EAN;Norsk;9315939101157;9315939101157;1
EAN;Norsk;9315939101812;9315939101812;1
EAN;Norsk;9315939101904;9315939101904;1
EAN;Norsk;9315939101911;9315939101911;1
EAN;Norsk;9315939103557;9315939103557;1
EAN;Norsk;9315939106503;9315939106503;1
EAN;Norsk;9315939112009;9315939112009;1
EAN;Norsk;9315939112030;9315939112030;1
EAN;Norsk;9315939112061;9315939112061;1
EAN;Norsk;9315939112092;9315939112092;1
EAN;Norsk;9315939112108;9315939112108;1
EAN;Norsk;9315939112146;9315939112146;1
EAN;Norsk;9315939112153;9315939112153;1
EAN;Norsk;9315939112160;9315939112160;1
EAN;Norsk;9315939112184;9315939112184;1
EAN;Norsk;9315939112191;9315939112191;1
EAN;Norsk;9315939112207;9315939112207;1
EAN;Norsk;9315939112214;9315939112214;1
EAN;Norsk;9315939112269;9315939112269;1
EAN;Norsk;9315939112276;9315939112276;1
EAN;Norsk;9315939112283;9315939112283;1
EAN;Norsk;9315939112290;9315939112290;1
EAN;Norsk;9315939112306;9315939112306;1
EAN;Norsk;9315939112313;9315939112313;1
EAN;Norsk;9315939112320;9315939112320;1
EAN;Norsk;9315939112337;9315939112337;1
EAN;Norsk;9315939112344;9315939112344;1
EAN;Norsk;9315939112351;9315939112351;1
EAN;Norsk;9315939112368;9315939112368;1
EAN;Norsk;9315939112375;9315939112375;1
EAN;Norsk;9315939112382;9315939112382;1
EAN;Norsk;9315939112399;9315939112399;1
EAN;Norsk;9315939112405;9315939112405;1
EAN;Norsk;9315939112412;9315939112412;1
EAN;Norsk;9315939112429;9315939112429;1
EAN;Norsk;9315939112559;9315939112559;1
EAN;Norsk;9315939112566;9315939112566;1
EAN;Norsk;9315939112573;9315939112573;1
EAN;Norsk;9315939112580;9315939112580;1
EAN;Norsk;9315939112597;9315939112597;1
EAN;Norsk;9315939112603;9315939112603;1
EAN;Norsk;9315939112610;9315939112610;1
EAN;Norsk;9315939112627;9315939112627;1
EAN;Norsk;9315939112634;9315939112634;1
EAN;Norsk;9315939112641;9315939112641;1
EAN;Norsk;9315939112665;9315939112665;1
EAN;Norsk;9315939112672;9315939112672;1
EAN;Norsk;9315939112689;9315939112689;1
EAN;Norsk;9315939112696;9315939112696;1
EAN;Norsk;9315939112702;9315939112702;1
EAN;Norsk;9315939112719;9315939112719;1
EAN;Norsk;9315939112726;9315939112726;1
EAN;Norsk;9315939112733;9315939112733;1
EAN;Norsk;9315939112740;9315939112740;1
EAN;Norsk;9315939112757;9315939112757;1
EAN;Norsk;9315939112764;9315939112764;1
EAN;Norsk;9315939112771;9315939112771;1
EAN;Norsk;9315939112788;9315939112788;1
EAN;Norsk;9315939112795;9315939112795;1
EAN;Norsk;9315939112801;9315939112801;1
EAN;Norsk;9315939112818;9315939112818;1
EAN;Norsk;9315939112825;9315939112825;1
EAN;Norsk;9315939112856;9315939112856;1
EAN;Norsk;9315939112863;9315939112863;1
EAN;Norsk;9315939112870;9315939112870;1
EAN;Norsk;9315939112887;9315939112887;1
EAN;Norsk;9315939112894;9315939112894;1
EAN;Norsk;9315939112900;9315939112900;1
EAN;Norsk;9315939112917;9315939112917;1
EAN;Norsk;9315939112924;9315939112924;1
EAN;Norsk;9315939112931;9315939112931;1
EAN;Norsk;9315939112948;9315939112948;1
EAN;Norsk;9315939113013;9315939113013;1
EAN;Norsk;9315939113051;9315939113051;1
EAN;Norsk;9315939113068;9315939113068;1
EAN;Norsk;9315939113082;9315939113082;1
EAN;Norsk;9315939113099;9315939113099;1
EAN;Norsk;9315939113105;9315939113105;1
EAN;Norsk;9315939113112;9315939113112;1
EAN;Norsk;9315939113129;9315939113129;1
